years,genre,nationality,AR
1266,Proto Renaissance,Italian,2
1360,Byzantine Art,Russian,2
1395,Northern Renaissance,Flemish,2
1445,Early Renaissance,Italian,2
1450,Northern Renaissance,Dutch,1.5
1452,High Renaissance,Italian,2
1471,Northern Renaissance,German,2
1475,High Renaissance,Italian,2
1483,High Renaissance,Italian,2
1488,"High Renaissance,Mannerism",Italian,2
1525,Northern Renaissance,Flemish,2
1541,Mannerism,Greek,2
1571,Baroque,Italian,2
1577,Baroque,Flemish,2
1599,Baroque,Spanish,2
1606,Baroque,Dutch,2
1746,Romanticism,Spanish,2
1775,Romanticism,British,2
1798,Romanticism,French,2
1819,Realism,French,2
1830,"Impressionism,Post-Impressionism",French,2
1832,"Realism,Impressionism",French,2
1834,Impressionism,French,2
1839,Impressionism,French,2
1839,Post-Impressionism,French,1
1840,Impressionism,French,2
1841,Impressionism,French,2
1844,Primitivism,French,1.5
1848,"Symbolism,Post-Impressionism",French,2
1853,Post-Impressionism,Dutch,1
1856,Symbolism,Russian,2
1859,Post-Impressionism,French,1
1862,"Symbolism,Art Nouveau",Austrian,2
1863,"Symbolism,Expressionism",Norwegian,2
1864,Post-Impressionism,French,2
1866,"Expressionism,Abstractionism",Russian,1
1869,"Impressionism,Post-Impressionism",French,2
1872,Neoplasticism,Dutch,1
1879,Suprematism,Russian,1
1879,"Expressionism,Abstractionism,Surrealism","German,Swiss",1
1881,Cubism,Spanish,1
1884,Expressionism,Italian,1
1886,"Social Realism,Muralism",Mexican,2
1887,Primitivism,French,1.5
1893,Surrealism,Spanish,1
1898,"Surrealism,Impressionism",Belgian,1
1904,Surrealism,Spanish,1
1907,"Primitivism,Surrealism",Mexican,1
1912,Abstract Expressionism,American,1
1928,Pop Art,American,1
