Square Footage,Price/Sqft,HOA,Acrage,Beds + Baths,Elementary Score,Walking Score,Price
3144,199,692,0.5,9,7,4,710000
3756,199,692,0.46,9,7,34,746000
5539,162,692,0.53,13,7,9,895000
4168,168,644,0.53,10,7,4,699000
4179,201,692,0.54,10,7,14,839000
3273,205,644,0.71,8,7,27,670000
2835,208,644,0.39,7,7,36,589000
3623,206,644,0.6,8,7,4,748000
2646,195,644,0.37,7,7,27,517000
3408,198,648,0.46,8,7,10,675000
3742,183,420,0.61,8,7,16,685000
1142,171,648,0.5,4,8,34,195000
3391,139,692,0.44,8,7,6,749900
1397,168,720,0.5,5,4,54,235000
3154,198,700,0.75,8,7,19,625000
2388,153,1716,0.07,6,4,65,365000
2600,142,1716,0.08,6,4,65,370000
1855,167,1716,0.04,6,4,73,310000
1555,148,2184,0.04,6,8,58,230000
1545,148,1896,0.05,6,8,30,228000
3417,135,385,0.29,9,8,57,462000
1535,150,2136,0.04,6,8,30,230000
1832,164,1656,0.04,6,4,65,300000
1559,157,2184,0.04,6,8,44,244900
1486,178,2220,0.04,5,8,29,265109
2292,183,1692,0.1,8,4,51,418990
2738,211,1596,0.11,7,4,25,576990
2292,169,746,0.04,8,4,51,388490
2350,175,746,0.04,8,4,60,411990
2796,208,1596,0.1,7,4,18,580990
2290,155,480,0.2,6,4,29,354900
2936,157,516,0.28,7,4,35,460000
2200,159,480,0.19,6,4,32,350500
1768,201,480,0.25,5,4,48,356000
3642,140,480,0.26,8,4,11,510000
4771,102,480,0.33,10,4,6,488000
3472,138,480,0.25,9,4,39,480000
3100,155,480,0.24,7,4,39,480000
1981,177,480,0.34,7,4,19,350000
3061,143,480,0.28,8,4,37,439000
3067,158,480,0.33,7,4,48,485000
5830,137,480,0.49,10,7,53,800000
2224,179,480,0.3,6,4,42,399000
1981,172,0,0.49,7,7,51,340000
1770,220,365,0.31,6,9,51,390000
7459,116,950,0.54,11,9,0,865000
4666,148,1348,0.19,11,9,0,691000
3773,155,1348,0.22,9,9,0,585000
3530,169,1168,0.2,9,9,0,595000
3694,159,1168,0.23,9,9,0,587500
4202,142,1168,0.18,9,9,0,597000
3309,171,1188,0.26,8,9,0,565000
3453,169,1188,0.3,9,9,0,585000
4840,153,950,0.43,10,9,0,739000
6087,142,878,0.32,11,9,1,864312
3986,218,1024,0.19,9,9,0,868000
3249,184,700,0.19,9,7,11,599000
4100,177,485,0.33,10,7,6,724900
3609,163,1188,0.26,9,6,6,586868
3976,182,698,0.32,10,5,23,725000
2845,196.8,635,0.29,7,6,13,559900
2276,177.94,100,0.27,7,6,9,405000
2830,144.88,100,0.2,7,6,14,410000
3470,151.3,54,0.3,9,6,19,525000
4441,139.61,80,0.29,11,6,8,620000
4422,143.6,80,0.27,11,6,9,635000
1753,176.84,0,0.39,6,2,29,310000
1881,179.43,0,0.25,6,6,20,337500
3200,140.47,100,0.28,7,6,14,449500
4486,139.77,650,0.16,9,6,10,627000
2472,166.67,1980,0.08,7,6,17,412000
1857,159.34,1980,0.04,6,6,26,295900
5377,141.16,90,0.28,10,2,15,759000
1835,215.26,100,0.29,5,6,9,395000
2159,180.18,1980,0.06,7,6,34,389000
3466,175,756,0.24,14,6,2,605990
2620,213,588,0.81,6,6,2,559000
3354,174,588,0.26,7,6,2,584990
3770,162,756,0.21,7,6,2,610990
3152,186,756,0.34,7,6,2,585990
3606,171,756,0.19,9,6,2,614886
5271,149,756,0.23,12,3,28,786376
3607,147,932,0.22,9,6,2,532000
4751,122,584,0.29,8,6,10,580000
4324,133,584,0.26,9,6,10,591270
3642,152,840,0.22,9,6,20,555000
3374,156,584,0.43,8,6,15,562000
2844,208,746,0.28,7,4,18,591612
3670,165,400,0.36,10,7,34,605000
2736,194,1596,0.12,7,4,18,529942
2974,163,1020,0.2,9,6,3,484000
3621,135,1020,0.19,9,6,5,489000
2580,151,1020,0.17,8,6,3,390000
2785,138,1020,0.17,8,6,5,383500
2607,137,1020,0.17,7,6,2,356500
2589,153,1020,0.18,7,6,3,397000
4271,151,1020,0.55,9,6,4,643000
4465,121,1020,0.19,10,6,4,540000
3904,163,1020,0.51,9,6,7,635000
2764,165,1260,0.13,7,6,20,455000
3808,180,1020,0.37,9,6,6,684900
3902,169,1020,0.31,9,6,6,660000
2372,95,720,0.35,6,6,5,425000
1876,87,560,0.26,5,6,7,360000
3343,206,710,0.4,9,7,5,689900
